날짜,디어달리아,셀퓨전씨,에스네이처,오브제,연령대
2025-01-06,9.09698,7.75919,4.81605,67.75919,10대
2025-01-13,10.36789,12.10702,7.02341,61.93979,10대
2025-01-20,11.37123,9.56521,5.55183,66.35451,10대
2025-01-27,15.11705,9.49832,8.22742,100.0,10대
2025-02-03,12.57525,9.43143,8.09364,89.96655,10대
2025-02-10,11.50501,10.23411,7.6923,75.65217,10대
2025-01-06,20.76749,23.10691,22.26554,87.58465,20대
2025-01-13,26.30822,33.61379,19.78247,85.26575,20대
2025-01-20,26.24666,28.17566,17.99712,84.11656,20대
2025-01-27,24.2561,26.06197,19.57726,92.14036,20대
2025-02-03,33.49066,26.73917,20.66488,100.0,20대
2025-02-10,22.98378,26.10301,20.78801,98.4609,20대
2025-01-06,50.04147,48.02322,26.79015,93.28172,30대
2025-01-13,61.23859,57.81034,24.8272,87.89051,30대
2025-01-20,58.47387,56.17915,21.81365,83.10754,30대
2025-01-27,52.33619,44.40143,23.05778,80.20458,30대
2025-02-03,78.73928,51.20265,28.39369,100.0,30대
2025-02-10,53.80149,52.08736,27.53663,97.34586,30대
2025-01-06,59.23781,65.26772,29.8601,88.27785,40대
2025-01-13,81.13844,74.38494,27.73757,95.22431,40대
2025-01-20,66.37723,74.52966,23.20308,88.0849,40대
2025-01-27,60.68499,65.70188,23.05836,86.15533,40대
2025-02-03,83.45393,78.00289,30.43897,100.0,40대
2025-02-10,68.98215,71.53883,27.01398,93.48769,40대
2025-01-06,26.799,33.49875,24.31761,81.22415,50대
2025-01-13,33.58147,39.61952,14.14392,82.71298,50대
2025-01-20,31.43093,40.19851,11.00082,85.52522,50대
2025-01-27,27.95698,31.84449,13.81306,91.31513,50대
2025-02-03,36.64185,46.07113,14.39205,100.0,50대
2025-02-10,27.87427,40.11579,16.45988,85.3598,50대
2025-01-06,16.48351,29.94505,15.93406,90.93406,60대
2025-01-13,17.85714,19.50549,9.34065,77.1978,60대
2025-01-20,19.23076,29.67032,7.14285,79.94505,60대
2025-01-27,9.8901,18.40659,3.84615,81.86813,60대
2025-02-03,21.15384,40.65934,7.14285,93.40659,60대
2025-02-10,12.08791,22.25274,7.96703,100.0,60대
